"","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count"
"1","148746965181554","Connacht Tribune - Galway City Tribune","A teenager is being questioned by Gardaí after he was arrested last night on suspicion of handling €2,000 worth of stolen goods.","2018-03-21T10:41:50+0000","link","http://connachttribune.ie/city-teenager-arrested-on-suspicion-of-theft-of-two-thousand-euro-worth-of-tools-200/","148746965181554_1716042608451974",NA,42,18,22
"2","148746965181554","Connacht Tribune - Galway City Tribune","A syndicate from Galway have collected their half-a-million euro win from National Lottery Headquarters today.","2018-03-20T22:51:04+0000","link","http://connachttribune.ie/galway-syndicate-collects-euromillions-win-220/","148746965181554_1715611325161769",NA,175,38,5
"3","148746965181554","Connacht Tribune - Galway City Tribune","Almost €5,000 worth of damage was caused to an Inis Mór pub during a burglary on Saturday morning.","2018-03-20T21:38:26+0000","link","http://connachttribune.ie/gardai-appealing-for-witnesses-after-serious-damage-caused-to-island-pub-during-st-patricks-day-robbery-244/","148746965181554_1715560738500161",NA,73,70,40
"4","148746965181554","Connacht Tribune - Galway City Tribune","A man who is “sick” of people putting images of him on the internet, has admitted slapping a woman’s mobile phone out of her hand because he believed she was taking a picture of him in Eyre Square late one night.","2018-03-20T20:37:57+0000","link","http://connachttribune.ie/man-sick-of-people-putting-photos-of-him-on-the-internet-090/","148746965181554_1715507491838819",NA,85,134,20
"5","148746965181554","Connacht Tribune - Galway City Tribune","A file is being prepared for the Director of Public Prosecutions following an incident involving a weapon in Carraroe at the weekend.","2018-03-20T16:04:54+0000","link","http://connachttribune.ie/file-for-dpp-after-alleged-threats-during-carraroe-incident-200/","148746965181554_1715307221858846",NA,33,35,6
"6","148746965181554","Connacht Tribune - Galway City Tribune","A 46-year-old man terrorised a former friend and neighbour, threatening to kill her and her family by burning their house down.","2018-03-20T14:43:37+0000","link","http://connachttribune.ie/jail-for-man-who-threatened-to-kill-neighbour-210/","148746965181554_1715235675199334",NA,29,5,3
"7","148746965181554","Connacht Tribune - Galway City Tribune","A chef, who took exception to a bus driver asking for more money to fully cover a fare, was convicted and fined for being threatening and abusive in public, at Galway District Court.","2018-03-20T12:29:06+0000","link","http://connachttribune.ie/bus-passenger-fined-over-aggressive-behaviour-towards-driver-300/","148746965181554_1715053231884245",NA,58,32,13
"8","148746965181554","Connacht Tribune - Galway City Tribune","Spiddal-based Pádraig Ó Céidigh tops the list of Galway senators’ business interests, with a portfolio of shares and directorships in aviation and transport companies and nursing homes.","2018-03-19T20:28:31+0000","link","http://connachttribune.ie/galway-aviation-investor-tops-local-seanad-register-of-interests-333/","148746965181554_1714397535283148",NA,29,12,6
"9","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-19T18:30:43+0000","photo","https://www.facebook.com/GalwayMountainRescueTeam/photos/a.524969340917366.1073741827.122435334504104/1666143080133314/?type=3","148746965181554_1714317631957805","Connacht Tribune - Galway City Tribune shared Galway Mountain Rescue Team's post.",38,30,86
"10","148746965181554","Connacht Tribune - Galway City Tribune","An inner relief road long mooted for Tuam has now been deemed surplus to requirements – in light of the infrastructure that was provided around the town late last year.","2018-03-19T17:38:15+0000","link","http://connachttribune.ie/end-of-the-road-for-inner-relief-route-in-tuam-009/","148746965181554_1714278901961678",NA,5,1,1
"11","148746965181554","Connacht Tribune - Galway City Tribune","Galway County Council has refused planning permission for a filling station and two drive-thru restaurants adjacent to the carpark of Loughrea Shopping Centre. There was strong local opposition to the plans, with almost 40 local residents putting their names to one of five objections.","2018-03-19T11:39:21+0000","link","http://connachttribune.ie/filling-station-and-drive-thrus-plan-refused-for-loughrea-440/","148746965181554_1713954365327465",NA,19,5,6
"12","148746965181554","Connacht Tribune - Galway City Tribune","A leading publican in North Galway is to keep his doors firmly shut this Good Friday – despite the change in the licensing laws allowing bars to open for the first time.","2018-03-19T09:30:12+0000","link","http://connachttribune.ie/tuam-publican-vows-to-stay-closed-on-good-friday-210/","148746965181554_1713870708669164",NA,501,110,46
"13","148746965181554","Connacht Tribune - Galway City Tribune","A man was taken to University Hospital Galway after falling from a roof in the city in the early hours of this morning.","2018-03-18T18:57:55+0000","link","http://connachttribune.ie/man-taken-to-uhg-following-fall-from-city-roof-221/","148746965181554_1713309948725240",NA,22,4,3
"14","148746965181554","Connacht Tribune - Galway City Tribune","All the colour from this year’s Galway City St Patrick’s Day Parade (Video: Joe O’Shaughnessy)","2018-03-18T08:52:25+0000","video","https://www.facebook.com/ConnachtTribune/videos/1712760625446839/","148746965181554_1712760625446839",NA,244,21,92
"15","148746965181554","Connacht Tribune - Galway City Tribune","The Grand Slam ... and the Connacht Rugby input! <ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00AA>","2018-03-17T17:11:44+0000","photo","https://www.facebook.com/ConnachtTribune/photos/a.567343033321943.1073741828.148746965181554/1712075778848657/?type=3","148746965181554_1712077295515172",NA,1096,29,134
"16","148746965181554","Connacht Tribune - Galway City Tribune","Even Lidl Ireland saw the funny side of this float at the Spiddal parade!","2018-03-17T16:22:46+0000","photo","https://www.facebook.com/ConnachtTribune/photos/a.567343033321943.1073741828.148746965181554/1712031748853060/?type=3","148746965181554_1712032388852996",NA,441,22,65
"17","148746965181554","Connacht Tribune - Galway City Tribune","All you need to know about tomorrow's St Patrick's Day festivities in Galway city and county.","2018-03-16T21:59:23+0000","link","http://connachttribune.ie/round-up-st-patricks-day-parades-galway-city-and-county-433/","148746965181554_1711177825605119",NA,83,18,33
"18","148746965181554","Connacht Tribune - Galway City Tribune","The 19-year-old man tragically killed in a crash in Williamstown this morning has been named. RIP.","2018-03-16T21:09:42+0000","link","http://connachttribune.ie/witnesses-sought-to-crash-which-claimed-life-of-williamstown-teenager-300/","148746965181554_1711142082275360",NA,12,5,1
"19","148746965181554","Connacht Tribune - Galway City Tribune","A Moycullen man has been sentenced to four years in prison for threatening to rape and kill a woman he met in a nightclub.","2018-03-16T14:37:09+0000","link","http://connachttribune.ie/moycullen-man-jailed-for-threatening-to-rape-and-kill-woman-220/","148746965181554_1710778635645038",NA,71,51,69
"20","148746965181554","Connacht Tribune - Galway City Tribune","A young man has been killed in a crash near Williamstown overnight. RIP.","2018-03-16T08:19:39+0000","link","http://connachttribune.ie/young-man-killed-in-crash-near-williamstown-221/","148746965181554_1710493745673527",NA,40,20,11
"21","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-16T07:35:19+0000","link","http://connachttribune.ie/ambulances-logjam-leaves-patients-stuck-550/","148746965181554_1710468272342741","Connacht Tribune - Galway City Tribune shared a link.",14,10,15
"22","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-16T07:34:48+0000","link","http://connachttribune.ie/first-steps-taken-in-plan-to-overhaul-galway-citys-pedestrianised-zone-333/","148746965181554_1710467955676106","Connacht Tribune - Galway City Tribune shared a link.",38,16,6
"23","148746965181554","Connacht Tribune - Galway City Tribune","A decision is looming from CIE management on outline proposals for the development of ‘Ceannt Station Quarter’ – a project which will cost several hundred million euro and shape the future of Galway City Centre.","2018-03-16T07:34:30+0000","link","http://connachttribune.ie/decision-looms-on-outline-plans-for-new-ceannt-quarter-200/","148746965181554_1710467675676134",NA,53,6,7
"24","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-16T07:34:14+0000","link","http://connachttribune.ie/utd-learn-plenty-lessons-stalemate-students/","148746965181554_1710467455676156","Connacht Tribune - Galway City Tribune shared a link.",0,0,0
"25","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-16T07:33:59+0000","link","http://connachttribune.ie/copeland-moves-west-duo-handed-extensions/","148746965181554_1710467332342835","Connacht Tribune - Galway City Tribune shared a link.",2,1,0
"26","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-16T07:33:44+0000","link","http://connachttribune.ie/craughwells-pat-kelly-trains-presenting-percy-third-successive-cheltenham-win/","148746965181554_1710467139009521","Connacht Tribune - Galway City Tribune shared a link.",50,0,2
"27","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-16T07:33:25+0000","link","http://connachttribune.ie/maree-win-thriller-secure-super-league-status/","148746965181554_1710466932342875","Connacht Tribune - Galway City Tribune shared a link.",7,1,1
"28","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-16T07:33:08+0000","link","http://connachttribune.ie/meeting-minds-top-writers-join-forces-free-event-druid/","148746965181554_1710466745676227","Connacht Tribune - Galway City Tribune shared a link.",3,0,0
"29","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-16T07:32:50+0000","link","http://connachttribune.ie/whileaways-preview-songs-new-album-intimate-gig/","148746965181554_1710466529009582","Connacht Tribune - Galway City Tribune shared a link.",3,0,1
"30","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-16T07:32:34+0000","link","http://connachttribune.ie/two-galway-writers-make-shortlist-hennessy-awards/","148746965181554_1710466332342935","Connacht Tribune - Galway City Tribune shared a link.",79,16,6
"31","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-16T07:31:17+0000","link","http://connachttribune.ie/new-exhibition-nuig-offers-fresh-insight-poet-mairtin-o-direain/","148746965181554_1710465305676371","Connacht Tribune - Galway City Tribune shared a link.",5,0,0
"32","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-16T07:30:58+0000","link","http://connachttribune.ie/blood-will-tory-hands-war-returns/","148746965181554_1710465135676388","Connacht Tribune - Galway City Tribune shared a link.",6,0,0
"33","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-16T07:30:41+0000","link","http://connachttribune.ie/silke-recalls-days-corofin-side-came-age-98/","148746965181554_1710464815676420","Connacht Tribune - Galway City Tribune shared a link.",31,1,3
"34","148746965181554","Connacht Tribune - Galway City Tribune","Gardaí are planning to carry out house-to-house enquiries, following an assault and robbery in the city last night.","2018-03-15T12:42:06+0000","link","http://connachttribune.ie/house-to-house-enquiries-following-alleged-city-assault-and-robbery-033/","148746965181554_1709577665765135",NA,29,8,33
"35","148746965181554","Connacht Tribune - Galway City Tribune","WIN 2 TICKETS TO THE AIB GAA CLUB CHAMPIONSHIP FINALS - COROFIN V NEMO RANGERS 

AND THE WINNER IS ...

CIAN McGINN","2018-03-15T07:35:55+0000","photo","https://www.facebook.com/ConnachtTribune/photos/a.154527567936827.36001.148746965181554/1709349289121306/?type=3","148746965181554_1709349402454628",NA,7,1,4
"36","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-15T07:02:53+0000","link","http://connachttribune.ie/retiring-doctors-trigger-gp%e2%80%88crisis-709/","148746965181554_1709322405790661","Connacht Tribune - Galway City Tribune shared a link.",2,1,3
"37","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-15T07:02:38+0000","link","http://connachttribune.ie/corofin-keyed-croker-return-565/","148746965181554_1709322215790680","Connacht Tribune - Galway City Tribune shared a link.",8,0,1
"38","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-15T07:02:22+0000","link","http://connachttribune.ie/end-era-teachers-teacher-departs-galway-education-centre-612/","148746965181554_1709322022457366","Connacht Tribune - Galway City Tribune shared a link.",32,5,10
"39","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-15T07:02:06+0000","link","http://connachttribune.ie/death-galway-born-trailblazer-irelands-oldest-woman-576/","148746965181554_1709321799124055","Connacht Tribune - Galway City Tribune shared a link.",73,9,7
"40","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-15T06:53:49+0000","link","http://connachttribune.ie/veterans-medals-masters-championships/","148746965181554_1709317812457787","Connacht Tribune - Galway City Tribune shared a link.",0,0,0
"41","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-15T06:53:34+0000","link","http://connachttribune.ie/fitzgerald-well-aware-nemo-rangers-threat/","148746965181554_1709317552457813","Connacht Tribune - Galway City Tribune shared a link.",1,0,0
"42","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-15T06:53:18+0000","link","http://connachttribune.ie/winning-run-continues-thanks-solid-second-half-display/","148746965181554_1709317342457834","Connacht Tribune - Galway City Tribune shared a link.",1,0,0
"43","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-15T06:53:02+0000","link","http://connachttribune.ie/loughreas-first-half-blitz-stuns-leaders-athenry/","148746965181554_1709317192457849","Connacht Tribune - Galway City Tribune shared a link.",9,3,2
"44","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-15T06:52:40+0000","link","http://connachttribune.ie/baring-her-soul/","148746965181554_1709316962457872","Connacht Tribune - Galway City Tribune shared a link.",105,4,8
"45","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-15T06:52:24+0000","link","http://connachttribune.ie/galway-days-gone-66/","148746965181554_1709316809124554","Connacht Tribune - Galway City Tribune shared a link.",25,1,0
"46","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-15T06:52:05+0000","link","http://connachttribune.ie/still-torn-patricks-faith-bawdy-bashes-celts/","148746965181554_1709316589124576","Connacht Tribune - Galway City Tribune shared a link.",4,0,0
"47","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-15T06:51:49+0000","link","http://connachttribune.ie/dearbhla-making-mark-debut-crime-novel-ruin/","148746965181554_1709316352457933","Connacht Tribune - Galway City Tribune shared a link.",9,0,0
"48","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-15T06:51:32+0000","link","http://connachttribune.ie/electronic-duo-cosmos-ready-road/","148746965181554_1709316142457954","Connacht Tribune - Galway City Tribune shared a link.",1,0,0
"49","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-15T06:51:10+0000","link","http://connachttribune.ie/revive-thrives-sfa-awards/","148746965181554_1709315942457974","Connacht Tribune - Galway City Tribune shared a link.",2,0,0
"50","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-15T06:50:51+0000","link","http://connachttribune.ie/grealish-wants-end-sell-off-loans/","148746965181554_1709315745791327","Connacht Tribune - Galway City Tribune shared a link.",6,1,0
"51","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-15T06:50:34+0000","link","http://connachttribune.ie/large-family-home-located-edge-gort-town/","148746965181554_1709315509124684","Connacht Tribune - Galway City Tribune shared a link.",8,1,1
"52","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-15T06:50:17+0000","link","http://connachttribune.ie/auction-records-e3m-worth-home-sales/","148746965181554_1709315315791370","Connacht Tribune - Galway City Tribune shared a link.",6,0,1
"53","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-15T06:49:50+0000","link","http://connachttribune.ie/volkswagen-arteon-matches-pose-poise/","148746965181554_1709314919124743","Connacht Tribune - Galway City Tribune shared a link.",1,0,0
"54","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-15T06:49:30+0000","link","http://connachttribune.ie/vultures-add-legal-costs-sale-debt-farms/","148746965181554_1709314652458103","Connacht Tribune - Galway City Tribune shared a link.",0,1,1
"55","148746965181554","Connacht Tribune - Galway City Tribune",NA,"2018-03-15T06:49:13+0000","link","http://connachttribune.ie/ready-off-galway-ploughing-lisheenavalla/","148746965181554_1709314402458128","Connacht Tribune - Galway City Tribune shared a link.",6,1,3
